"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","o3","pm10","pm2.5","so2"
"83",2011-12-08,2,232.2,69.7,1017.4,92.8,12.5,18.1,9,0,1272,627872,2.02589062738902,0.29,43.83,55.54,102.61,14.29,NA,NA,NA
"84",2011-12-09,1.3,278.5,74,1012.7,80.8,10.9,15.8,7.5,0,237,163146,1.45268655069692,0.23,9.38,28.33,42.46,28.96,NA,NA,NA
"85",2011-12-10,1.7,285.8,69.9,1008.1,88.2,10.3,15.1,6.4,0,145,108084,1.3415491654639,0.3,21.88,43.21,76.08,14.92,NA,NA,NA
"86",2011-12-11,1.7,275.9,72.4,1007,84.7,9.2,15.5,5.2,0,1761,852621,2.06539599657996,0.24,15.42,28.75,52.21,22.83,NA,NA,NA
"87",2011-12-12,3.1,303.8,65.6,1010,99,10,15.8,6.8,0,1300,674247,1.92807680271473,0.35,20.04,42.62,72.88,25.75,NA,NA,NA
"88",2011-12-13,2.5,281.5,59.9,1008.5,84.2,11.3,16.2,7.7,0,1205,665515,1.81062785962751,0.59,25.88,39.62,79.04,33.71,NA,NA,2.17
"89",2011-12-14,2.5,231.3,58.1,1008,84.1,13.9,19,11.5,0,1096,610242,1.79600879651024,0.4,11.88,29.29,47.04,39.92,NA,NA,1.38
"90",2011-12-15,3.2,284.3,53.2,1013.3,84.3,11.4,15.2,9.2,0,1052,572096,1.83885222060633,0.34,11.54,35.21,52.67,36.42,NA,NA,1.08
"91",2011-12-16,4.5,267,49.4,1002.4,49.2,13.1,16.7,10,0,223,161173,1.38360643532105,0.35,3.17,6.54,11.04,60.58,NA,NA,1.04
"92",2011-12-17,6.2,310.5,53.8,1004.9,98,9.1,12.2,6.7,0,110,75248,1.46183287263449,0.29,3.33,10.21,15.21,52.21,NA,NA,1.29
"93",2011-12-18,3.3,300.7,44.6,1008,99,7.9,12.1,4.4,0,1549,780298,1.98513901099324,0.37,17.05,33.95,59.86,36.27,NA,NA,2.1
"94",2011-12-19,3,257,45.6,1012.8,80.7,7.5,10.7,5.3,0,1222,661136,1.84833377701411,0.32,14.17,26.71,48.17,32.12,NA,NA,1.92
"95",2011-12-20,3.6,270.4,66.5,1010.5,69.1,8.6,13,3.9,0,1120,626043,1.78901449261472,0.52,58.12,52.62,141.04,14.92,NA,NA,2
"96",2011-12-21,1.7,274.2,68.8,1011.3,51.8,11.7,15.5,8.1,0,968,562793,1.71999296366515,0.2,20.96,25.75,57.79,33.29,NA,NA,1.67
