"","date","ws","wd","rh","pres","solar","temp_mean","temp_max","temp_min","precip_sum","casos_total","poblacio_total","incidencia_1000","co","no","no2","nox","o3","pm10","pm2.5","so2","data"
"49",2011-11-04,NA,NA,87.6666666666667,NA,NA,16.475,17.9,15.3,NA,761,410428,1.85416199674486,NA,22.08,40.75,74.17,NA,NA,NA,NA,2011-11-04
"50",2011-11-05,NA,NA,80.5416666666667,NA,NA,15.5791666666667,18.1,12.8,NA,221,147266,1.50068583379735,NA,10.38,32.58,48.12,NA,NA,NA,NA,2011-11-05
"51",2011-11-06,NA,NA,84.5416666666667,NA,NA,13.7166666666667,16.4,12.1,NA,80,58231,1.37383867699335,NA,7.33,23.71,34.58,NA,NA,NA,NA,2011-11-06
"52",2011-11-07,NA,NA,71.25,NA,NA,15.6041666666667,19.1,13,NA,1306,689123,1.89516240206756,NA,32.21,51.12,100,NA,NA,NA,NA,2011-11-07
"53",2011-11-08,NA,NA,74.7916666666667,NA,NA,15.3125,18.9,13,NA,1063,569310,1.86717254220021,NA,15.12,33.5,56.33,NA,NA,NA,NA,2011-11-08
"54",2011-11-09,NA,NA,81.0833333333333,NA,NA,14.7125,19,11.4,NA,956,513068,1.86330077104789,NA,48.62,56.42,130.33,NA,NA,NA,NA,2011-11-09
"55",2011-11-10,NA,NA,78.2916666666667,NA,NA,15.35,19.1,12.1,NA,943,503108,1.87434904632803,NA,46.71,62.33,133.29,NA,NA,NA,NA,2011-11-10
"56",2011-11-11,NA,NA,86.375,NA,NA,15.6,19.4,12,NA,825,453083,1.8208584299124,NA,55.79,60.54,145.38,NA,NA,NA,NA,2011-11-11
"57",2011-11-12,NA,NA,86.875,NA,NA,16.5916666666667,19.6,14.7,NA,200,134662,1.4851999821776,NA,29.79,46.17,91.46,NA,NA,NA,NA,2011-11-12
"58",2011-11-13,NA,NA,85.5416666666667,NA,NA,15.8125,17.8,14.6,NA,114,74944,1.52113578138343,NA,8.58,29.96,42.67,NA,NA,NA,NA,2011-11-13
"59",2011-11-14,NA,NA,85.7083333333333,NA,NA,14.7458333333333,16.9,13.8,NA,1342,700081,1.91692104199371,NA,19.88,50.92,80.79,NA,NA,NA,NA,2011-11-14
"60",2011-11-15,NA,NA,87.4166666666667,NA,NA,15.375,17,14.6,NA,773,438859,1.76138577538572,NA,4.17,27.83,33.71,NA,NA,NA,NA,2011-11-15
"61",2011-11-16,NA,NA,82.2916666666667,NA,NA,14.8666666666667,15.8,13.5,NA,791,417682,1.89378522416575,NA,18.21,49,76.38,NA,NA,NA,NA,2011-11-16
"62",2011-11-17,NA,NA,77.625,NA,NA,14.875,17,12.8,NA,960,510763,1.87954100042485,NA,17.79,42.71,69.54,NA,NA,NA,NA,2011-11-17
"63",2011-11-18,NA,NA,89,NA,NA,13.3041666666667,15.8,11.9,NA,894,430648,2.07594137207185,NA,49.54,50.04,125.5,NA,NA,NA,NA,2011-11-18
"64",2011-11-19,NA,NA,82.7916666666667,NA,NA,13.8625,16.1,11.2,NA,182,115720,1.57276183892153,NA,26.04,40.46,79.83,NA,NA,NA,NA,2011-11-19
"65",2011-11-20,NA,NA,84.3333333333333,NA,NA,16.0791666666667,18.2,13.6,NA,122,76372,1.59744408945687,NA,4.75,28.38,35.25,NA,NA,NA,NA,2011-11-20
"66",2011-11-21,NA,NA,80.8333333333333,NA,NA,15.2375,17.6,13.4,NA,1463,710083,2.06032252567658,NA,14.71,42.08,64.29,NA,NA,NA,NA,2011-11-21
"67",2011-11-22,NA,NA,71.4166666666667,NA,NA,15.8791666666667,16.9,13.9,NA,1061,526459,2.01535162282343,NA,5.26,29.61,37.09,NA,NA,NA,NA,2011-11-22
"68",2011-11-23,NA,NA,71.5833333333333,NA,NA,14.4208333333333,18.5,10.8,NA,1052,538174,1.95475812655387,NA,53.75,52.42,134.5,NA,NA,NA,NA,2011-11-23
"69",2011-11-24,NA,NA,79.0833333333333,NA,NA,12.9916666666667,17.1,9.9,NA,1032,528611,1.95228627478429,NA,55.17,46.75,130.67,NA,NA,NA,NA,2011-11-24
"70",2011-11-25,NA,NA,79.2083333333333,NA,NA,12.5583333333333,16.3,10.1,NA,968,488414,1.98192517004017,NA,75.5,55.12,170.42,NA,NA,NA,NA,2011-11-25
"71",2011-11-26,NA,NA,74.5833333333333,NA,NA,11.3541666666667,15.8,8.2,NA,231,129736,1.78053894061787,NA,18.83,30.54,58.96,NA,NA,NA,NA,2011-11-26
"72",2011-11-27,NA,NA,75.1666666666667,NA,NA,12.0416666666667,16,8.5,NA,113,82983,1.36172469059928,NA,21.67,33.33,66.04,NA,NA,NA,NA,2011-11-27
"73",2011-11-28,NA,NA,76.2916666666667,NA,NA,12.7833333333333,15.5,10.4,NA,1705,779792,2.1864804973634,NA,38.79,46.54,105.5,NA,NA,NA,NA,2011-11-28
"74",2011-11-29,NA,NA,71.7083333333333,NA,NA,14.2708333333333,17.7,11.1,NA,1337,649969,2.05702118101017,NA,54.38,60.88,143.75,NA,NA,NA,NA,2011-11-29
"75",2011-11-30,NA,NA,73.5,NA,NA,12.4083333333333,16.4,9,NA,1245,608769,2.04511070701695,NA,45.67,52.58,122.12,NA,NA,NA,NA,2011-11-30
"76",2011-12-01,NA,NA,76.875,NA,NA,13.2333333333333,16.9,8.7,NA,1164,577448,2.01576592177997,NA,40.62,54.67,116.33,NA,NA,NA,NA,2011-12-01
"77",2011-12-02,NA,NA,70.2916666666667,NA,NA,14.3416666666667,17.1,11.8,NA,1126,516125,2.18164204407847,NA,41,57.27,119.59,NA,NA,NA,NA,2011-12-02
"78",2011-12-03,NA,NA,60.2083333333333,NA,NA,13.0166666666667,15,10.5,NA,255,168559,1.51282340308141,NA,5.62,25,33.38,NA,NA,NA,NA,2011-12-03
"79",2011-12-04,NA,NA,56.7083333333333,NA,NA,12.8791666666667,15.6,11.6,NA,128,92536,1.38324543961269,NA,4.08,19.88,25.67,NA,NA,NA,NA,2011-12-04
"80",2011-12-05,NA,NA,61.7916666666667,NA,NA,13.0875,16.6,9.6,NA,1496,683219,2.18963465594487,NA,11.58,28.04,45.38,NA,NA,NA,NA,2011-12-05
"81",2011-12-06,NA,NA,63.9166666666667,NA,NA,12.5666666666667,16.2,9.8,NA,145,102096,1.42023193856762,NA,15.58,32.33,55.79,NA,NA,NA,NA,2011-12-06
"82",2011-12-07,NA,NA,60.9583333333333,NA,NA,12.15,16,9.4,NA,1427,657906,2.16900286667092,NA,15.79,40.12,64.08,NA,NA,NA,NA,2011-12-07
"83",2011-12-08,NA,NA,75.2083333333333,NA,NA,11.7916666666667,16.1,9,NA,118,81089,1.45519120965852,NA,27.29,37.17,78.67,NA,NA,NA,NA,2011-12-08
"84",2011-12-09,NA,NA,78.4166666666667,NA,NA,10.7708333333333,15.1,6.7,NA,1272,627872,2.02589062738902,NA,63.04,48.33,144.33,NA,NA,NA,NA,2011-12-09
"85",2011-12-10,NA,NA,73.375,NA,NA,10.7166666666667,14.2,8.1,NA,237,163146,1.45268655069692,NA,19.29,36.58,65.92,NA,NA,NA,NA,2011-12-10
"86",2011-12-11,NA,NA,74.125,NA,NA,9.70416666666667,13.8,6.6,NA,145,108084,1.3415491654639,NA,24.54,34.92,72.12,NA,NA,NA,NA,2011-12-11
"87",2011-12-12,NA,NA,66.75,NA,NA,10.5041666666667,15.4,7.2,NA,1761,852621,2.06539599657996,NA,20.38,30.67,61.42,NA,NA,NA,NA,2011-12-12
"88",2011-12-13,NA,NA,59.7083333333333,NA,NA,12.0041666666667,16.1,6.8,NA,1300,674247,1.92807680271473,NA,36.86,46.14,102.14,NA,NA,NA,NA,2011-12-13
"89",2011-12-14,NA,NA,59.0833333333333,NA,NA,14.5083333333333,18.9,12.1,NA,1205,665515,1.81062785962751,NA,22,44.38,78.12,NA,NA,NA,NA,2011-12-14
"90",2011-12-15,NA,NA,50.9166666666667,NA,NA,12.6708333333333,15.3,10.2,NA,1096,610242,1.79600879651024,NA,11.79,36.21,53.75,NA,NA,NA,NA,2011-12-15
"91",2011-12-16,NA,NA,45.9166666666667,NA,NA,14.1791666666667,17.2,11.6,NA,1052,572096,1.83885222060633,NA,11.92,35.42,53.33,NA,NA,NA,NA,2011-12-16
"92",2011-12-17,NA,NA,49.2083333333333,NA,NA,10.3125,12.8,8.6,NA,223,161173,1.38360643532105,NA,3.92,15.25,20.71,NA,NA,NA,NA,2011-12-17
"93",2011-12-18,NA,NA,40.5833333333333,NA,NA,8.86666666666667,12.6,6.2,NA,110,75248,1.46183287263449,NA,5.92,25.71,34.46,NA,NA,NA,NA,2011-12-18
"94",2011-12-19,NA,NA,45.5416666666667,NA,NA,7.79583333333333,10.9,4,NA,1549,780298,1.98513901099324,NA,23.88,40.75,76.88,NA,NA,NA,NA,2011-12-19
"95",2011-12-20,NA,NA,61.1666666666667,NA,NA,9.74583333333333,13.3,6.4,NA,1222,661136,1.84833377701411,NA,32.92,45.33,95.29,NA,NA,NA,NA,2011-12-20
