,date,ws,wd,rh,pres,solar,temp_mean,temp_max,temp_min,precip_sum,casos_total,poblacio_total,incidencia_1000,no,no2,nox,o3,pm10
43,2011-10-29,5.2625,497.916.666.666.667,853.541.666.666.667,973.775,718.958.333.333.333,159.729.166.666.667,19.2,14.3,0,242,150717,16.056.582.867.228,NA,NA,NA,NA,NA
44,2011-10-30,325.416.666.666.667,161.770.833.333.333,75.625,97.339.375,125.583.333.333.333,159.708.333.333.333,19.8,13.9,0,157,98177,159.915.255.100.482,NA,NA,NA,NA,NA
45,2011-10-31,319.375,236.875,82.625,970.266.666.666.667,79.125,155.166.666.666.667,18.2,14.1,0,943,454778,207.353.917.735.686,NA,NA,NA,NA,NA
46,2011-11-01,4.275,225,871.458.333.333.333,968.941.666.666.667,898.541.666.666.667,165.125,19.9,15,0.1,128,94454,135.515.700.764.393,NA,NA,NA,NA,NA
47,2011-11-02,584.583.333.333.333,2.110.625,887.916.666.666.667,96.576.875,110.895.833.333.333,165.291.666.666.667,18.8,15.3,42.2,1290,668601,192.940.184.055.962,NA,NA,NA,NA,NA
48,2011-11-03,574.583.333.333.333,1.876.875,88.875,95.716.875,247.916.666.666.667,166.104.166.666.667,17.8,15.7,0.5,1014,554732,182.790.969.332.939,NA,NA,NA,NA,NA
49,2011-11-04,499.791.666.666.667,191.270.833.333.333,89.75,951.825,172.083.333.333.333,1.418.125,15.8,12.8,30.9,761,410428,185.416.199.674.486,NA,NA,NA,NA,NA
50,2011-11-05,4.025,217.916.666.666.667,87.125,9.516.875,38.375,126.291.666.666.667,14.5,10.3,18.9,221,147266,150.068.583.379.735,NA,NA,NA,NA,NA
51,2011-11-06,7.7875,1.693.125,842.916.666.666.667,956.525,257.083.333.333.333,112.770.833.333.333,13.6,9.3,34.3,80,58231,137.383.867.699.335,NA,NA,NA,NA,NA
52,2011-11-07,526.875,2.570.625,64.875,9.637.375,923.958.333.333.333,140.208.333.333.333,16.8,12.3,0,1306,689123,189.516.240.206.756,NA,NA,NA,NA,NA
53,2011-11-08,532.916.666.666.667,243.875,761.041.666.666.667,965.870.833.333.333,135.916.666.666.667,128.333.333.333.333,16.7,10.8,0,1063,569310,186.717.254.220.021,NA,NA,NA,NA,NA
54,2011-11-09,390.416.666.666.667,254.145.833.333.333,737.083.333.333.333,9.697.625,129.854.166.666.667,141.708.333.333.333,19.3,11.6,0,956,513068,186.330.077.104.789,NA,NA,NA,NA,NA
55,2011-11-10,322.916.666.666.667,236.395.833.333.333,738.958.333.333.333,969.504.166.666.666,116.333.333.333.333,14.875,18.1,13.3,0,943,503108,187.434.904.632.803,NA,NA,NA,NA,NA
56,2011-11-11,394.583.333.333.333,240.354.166.666.667,779.166.666.666.667,97.023.125,133.458.333.333.333,154.645.833.333.333,19.8,13.7,0,825,453083,18.208.584.299.124,NA,NA,NA,NA,NA
57,2011-11-12,223.541.666.666.667,772.708.333.333.333,877.916.666.666.667,977.029.166.666.666,923.958.333.333.333,151.145.833.333.333,18,13.8,0,200,134662,14.851.999.821.776,NA,NA,NA,NA,NA
58,2011-11-13,448.333.333.333.333,647.916.666.666.667,931.875,977.9,270.208.333.333.333,133.854.166.666.667,15.6,11.4,15,114,74944,152.113.578.138.343,NA,NA,NA,NA,NA
59,2011-11-14,566.666.666.666.667,568.958.333.333.333,90.125,97.210.625,224.791.666.666.667,121.166.666.666.667,13.8,11.1,6.1,1342,700081,191.692.104.199.371,NA,NA,NA,NA,NA
60,2011-11-15,6.1875,57.75,943.333.333.333.333,964.708.333.333.333,132.083.333.333.333,12.4,13.5,11.6,35,773,438859,176.138.577.538.572,NA,NA,NA,NA,NA
61,2011-11-16,620.625,36.75,908.125,968.685.416.666.667,230.625,115.520.833.333.333,12.1,10.8,5.9,791,417682,189.378.522.416.575,NA,NA,NA,NA,NA
62,2011-11-17,2.875,81.125,805.625,974.847.916.666.667,681.875,121.854.166.666.667,15,10.6,1.8,960,510763,187.954.100.042.485,NA,NA,NA,NA,NA
63,2011-11-18,227.083.333.333.333,106.166.666.666.667,871.875,9.724.125,725.416.666.666.667,1.145.625,13.6,9.9,1.4,894,430648,207.594.137.207.185,NA,NA,NA,NA,NA
